,Vegetarian options,Outdoor seating,Friendly and attentive service,Overpriced for portion/quality,Creative or unique menu items,Casual and relaxed atmosphere,Cleanliness and hygiene,Kid-friendly environment,Quick food service,Generous portion sizes,Gluten-free options,Lively or vibrant vibe,Memorable signature dishes,Good value for money,High food quality (taste/freshness),Diverse menu options,Parking availability,Comfortable for working or studying,Wait times during peak hours,Good drink or cocktail selection
bcjbaE6dDog4jkNY91ncLQ,0.40743443,0.15384337,0.25576767,0.3565523,0.3514887,0.20733479,0.12670565,0.11155246,0.40336674,0.26116946,0.35227263,0.12520526,0.3243932,0.17963059,0.43317798,0.37569296,0.07733041,-0.0043408573,0.045496754,0.38845623
j2wlzrntrbKwyOcOiB3l3w,0.20308226,0.12798849,0.24440478,0.19398248,0.2702454,0.11547284,0.16989973,0.25865465,0.29436654,0.14816119,0.3601032,0.07091342,0.30413723,0.021288415,0.25478184,0.18929657,0.017674845,0.018456453,0.050834704,0.2895591
IQsF3Rc6IgCzjVV9DE8KXg,0.24167806,0.14820214,0.33774784,0.22750911,0.27877206,0.23431586,0.11080997,0.119173616,0.39046943,0.11794451,0.16626573,0.27525255,0.32526606,0.09572303,0.46728557,0.28114757,0.07670359,0.059579544,0.07127002,0.4894831
RreNy--tOmXMl1en0wiBOg,0.27122545,0.16730708,0.2402933,0.38253054,0.2902292,0.1729967,0.12957121,0.11975116,0.35719022,0.23475572,0.2632383,0.15928757,0.34437236,0.14238636,0.47615147,0.25432616,0.010203496,0.008864947,0.051504716,0.27124947
Jha0USGDMefGFRLik_xFQg,0.052318554,0.2961673,0.28861707,0.16719735,0.13748595,0.19995055,0.12984474,0.13347617,0.3970641,0.12550502,0.04488776,0.13256538,0.20878676,0.061697744,0.3120485,0.056572087,0.22658788,-0.0017846497,0.17373127,0.14356107
ZGjgfSvjQK886kiTzLwfLQ,0.16162725,0.057807904,0.24068278,0.19174825,0.2930906,0.110852,0.054540712,0.1403274,0.34046298,0.14828826,0.12109018,0.17722839,0.35418564,0.14212866,0.26640534,0.19208932,0.021584017,-0.027163105,0.056407657,0.30642122
IKbjLnfBQtEyVzEu8CuOLg,0.23953179,0.1347684,0.1730186,0.234348,0.18414733,0.124359325,0.116742015,0.15813953,0.3123114,0.13195708,0.17090952,0.13794158,0.31045774,0.12366265,0.36305946,0.11362888,0.047978044,-0.050288443,-0.019013569,0.26567143
DBYhpb5hrAYgQjQaMhNYyQ,0.34638536,0.09653176,0.2493138,0.20558049,0.21274316,0.14822042,0.05060748,0.15578511,0.30461964,0.18376893,0.18134438,0.1339994,0.2642087,0.029128214,0.32704914,0.18053585,0.040920466,-0.010921072,0.03691947,0.43353197
NUtIAX-ygn474tDg5nmesg,0.4273351,0.114232205,0.2204031,0.25539064,0.21359104,0.13986067,0.07910147,0.066669956,0.3878507,0.20191692,0.26091236,0.13420951,0.29627073,0.08400145,0.44990784,0.22874546,0.0074879043,-0.0049621295,0.06355954,0.31070563
xbybLiQockAzC4xAlzFrGg,0.16724741,0.18255949,0.19947627,0.185379,0.14251257,0.20249982,0.079490975,0.09095618,0.2633502,0.08937662,0.14269191,0.15105727,0.2546196,0.11667286,0.29160547,0.11389834,0.18254817,0.033403404,0.12854765,0.37691116
wp-uX1pnNjAIDBNnQxz1ZQ,0.24538466,0.08866853,0.17567006,0.17674942,0.20689447,0.118073404,0.14370424,0.0060650073,0.23894328,0.12655142,0.15906684,0.13239363,0.34429353,0.047337376,0.38012865,0.17292133,-0.052140705,0.027717482,-0.022322742,0.21281865
07aVWNhBhpwqW3MdqoKDKQ,0.38623995,0.120796554,0.2342125,0.26157022,0.36591488,0.18974414,0.09427156,0.052087937,0.37313473,0.20674652,0.24332869,0.24098028,0.3962672,0.12568747,0.48832247,0.3204493,-0.020333774,0.036004215,0.014364662,0.4089222
